,Comp,LA,MIA,NY,PX,alpha
44100,0.699,-0.216,0.089,-0.471,-0.088,-0.0164258132
44140,0,0.153,0.069,0.458,-0.057,-0.0136926493
44180,0.545,-0.414,0.186,-0.155,0.036,-0.0125600969
44220,1.598,-0.666,-0.009,-0.404,-0.074,-0.0169163443
44300,0.096,-0.101,0.038,0.073,0.039,-0.004234533
44700,3.163,-0.071,0.429,-1.488,-0.327,-0.0145644481
44940,0.073,-0.014,-0.001,-0.025,0.094,-0.0122272128
45060,0,0.079,-0.041,0.311,-0.049,-0.0212525531
45104,0,-0.115,0.19,0.341,0.293,-0.0082519217
45220,0,-0.089,0.064,0.504,0.209,-0.0127543193
45300,0.067,0.102,0.169,0.323,0.384,-0.0047182041
45460,1.031,-0.558,0.065,-0.243,-0.033,-0.0126242024
45500,0.562,-0.328,0.121,-0.092,-0.122,-0.0100962647
45780,1.936,-0.633,-0.047,-0.469,-0.143,-0.0188858292
45820,0.843,-0.323,0.047,-0.131,-0.109,-0.0119432313
45940,0,0.011,0.133,0.764,-0.043,-0.0101735793
46060,0,-0.293,0.107,0.506,0.569,-0.0064671557
46140,0.942,-0.393,-0.102,-0.217,0.015,-0.0080364656
46220,0.603,-0.401,-0.065,-0.062,0.149,-0.0053636413
46340,0.504,-0.234,0.045,-0.105,-0.023,-0.0078904208
46540,0,0.157,-0.054,0.085,-0.026,-0.0178504891
46660,0,-0.253,-0.154,0.487,0.336,-0.0131974558
46700,2.765,-0.205,0.416,-0.909,-0.265,-0.0115016078
47020,0.222,-0.171,-0.111,-0.014,0.172,-0.0041261646
47220,0,-0.08,0.145,0.377,0.17,-0.0148614741
47260,0,-0.026,0.094,0.499,0.171,-0.0025544735
47300,0,0.281,0.486,-0.053,0.221,-0.0210360035
47380,0.723,-0.252,0.009,-0.163,-0.105,-0.0071794452
47580,0.64,-0.262,-0.02,-0.075,0.011,-0.0195903076
47644,3.877,-0.902,-0.172,-1.725,-0.103,-0.0112660339
47894,0.089,0.323,0.487,0.073,-0.207,0.0057046035
47940,1.338,-0.393,-0.194,-0.256,-0.039,0.003972747
48140,1.021,-0.569,0.112,-0.06,-0.084,-0.0073701881
48260,0.948,-0.459,-0.357,0.064,0.271,-0.0072827222
48300,0,-0.403,0.295,-0.031,0.175,-0.0025022039
48424,0.685,0.05,0.497,-0.078,0.092,-0.0027522825
48540,0.817,-0.49,-0.225,0.171,0.181,-0.0047739469
48620,0.944,-0.358,-0.054,-0.301,-0.001,-0.0126022225
48660,0.504,-0.217,0.224,-0.297,-0.153,-0.0093204457
48700,0.182,-0.133,0.215,-0.257,-0.096,-0.0071418827
48864,0,0.095,-0.059,0.528,0.134,-0.011714744
48900,0,-0.238,-0.102,0.347,0.453,-0.004887498
49020,0,0.133,0.209,0.381,0.211,-0.0123410359
49180,0.52,-0.278,-0.204,0.058,0.179,-0.0178978673
